Gene stable ID	Gene name	Transcript stable ID	NCBI gene (formerly Entrezgene) ID
ENSRNOG00000001795	Itgb5	ENSRNOT00000076955	257645
ENSRNOG00000062057	AABR07029958.2	ENSRNOT00000092449	
ENSRNOG00000007532	RGD1305178	ENSRNOT00000076713	311855
ENSRNOG00000007532	RGD1305178	ENSRNOT00000010115	311855
ENSRNOG00000007532	RGD1305178	ENSRNOT00000076637	311855
ENSRNOG00000061408	AC096317.5	ENSRNOT00000088605	
ENSRNOG00000008671	AABR07019383.1	ENSRNOT00000011571	290484
ENSRNOG00000008671	AABR07019383.1	ENSRNOT00000076707	290484
ENSRNOG00000061943	AC127784.5	ENSRNOT00000092715	
ENSRNOG00000062195	AABR07040770.1	ENSRNOT00000093531	
ENSRNOG00000046720	AABR07024442.1	ENSRNOT00000075622	
ENSRNOG00000038099	AABR07039116.1	ENSRNOT00000057979	
ENSRNOG00000000780	Ppp1r11	ENSRNOT00000088757	294207
ENSRNOG00000000780	Ppp1r11	ENSRNOT00000078362	294207
ENSRNOG00000000780	Ppp1r11	ENSRNOT00000001013	294207
ENSRNOG00000007596	Rffl	ENSRNOT00000010015	282844
ENSRNOG00000007596	Rffl	ENSRNOT00000076089	282844
ENSRNOG00000007596	Rffl	ENSRNOT00000076598	282844
ENSRNOG00000007596	Rffl	ENSRNOT00000076398	282844
ENSRNOG00000007596	Rffl	ENSRNOT00000076596	282844
ENSRNOG00000007596	Rffl	ENSRNOT00000041389	282844
ENSRNOG00000040215	Sult1c2	ENSRNOT00000061896	171072
ENSRNOG00000040215	Sult1c2	ENSRNOT00000081413	171072
ENSRNOG00000000781	Rnf39	ENSRNOT00000080122	171387
ENSRNOG00000000781	Rnf39	ENSRNOT00000084548	171387
ENSRNOG00000000781	Rnf39	ENSRNOT00000001014	171387
ENSRNOG00000049537	AABR07021544.1	ENSRNOT00000076888	100302372
ENSRNOG00000049537	AABR07021544.1	ENSRNOT00000076385	100302372
ENSRNOG00000051338	AABR07039118.1	ENSRNOT00000076189	
ENSRNOG00000008880	Nrk	ENSRNOT00000057049	315907
ENSRNOG00000008880	Nrk	ENSRNOT00000093542	315907
ENSRNOG00000008880	Nrk	ENSRNOT00000093611	315907
ENSRNOG00000008880	Nrk	ENSRNOT00000093539	315907
ENSRNOG00000008880	Nrk	ENSRNOT00000093349	315907
ENSRNOG00000008880	Nrk	ENSRNOT00000093543	315907
ENSRNOG00000050746	AABR07024463.1	ENSRNOT00000070877	
ENSRNOG00000017536	Cdc16	ENSRNOT00000023736	290875
ENSRNOG00000017536	Cdc16	ENSRNOT00000090674	290875
ENSRNOG00000017536	Cdc16	ENSRNOT00000092305	290875
ENSRNOG00000017536	Cdc16	ENSRNOT00000092265	290875
ENSRNOG00000017536	Cdc16	ENSRNOT00000092433	290875
ENSRNOG00000017536	Cdc16	ENSRNOT00000092531	290875
ENSRNOG00000025408	Dux4	ENSRNOT00000088284	306226
ENSRNOG00000025408	Dux4	ENSRNOT00000052224	306226
ENSRNOG00000021815	Lig3	ENSRNOT00000084076	303369
ENSRNOG00000021815	Lig3	ENSRNOT00000076703	303369
ENSRNOG00000021815	Lig3	ENSRNOT00000055982	303369
ENSRNOG00000021815	Lig3	ENSRNOT00000076739	303369
ENSRNOG00000017285	Tab1	ENSRNOT00000067904	315139
ENSRNOG00000017285	Tab1	ENSRNOT00000092614	315139
