Gene stable ID	Transcript stable ID	Gene name	KEGG Pathway and Enzyme ID	NCBI gene ID
ENSMUSG00000066637	ENSMUST00000219470	Ttc32		75516
ENSMUSG00000005469	ENSMUST00000005606	Prkaca	04150+2.7.11.11	18747
ENSMUSG00000014551	ENSMUST00000140438	Mrps25		64658
ENSMUSG00000068917	ENSMUST00000121212	Clk2		12748
ENSMUSG00000027506	ENSMUST00000091355	Tpd52		21985
ENSMUSG00000032750	ENSMUST00000114109	Gab3		210710
ENSMUSG00000062901	ENSMUST00000232088	Klhl24		75785
ENSMUSG00000005469	ENSMUST00000211558	Prkaca	04150+2.7.11.11	18747
ENSMUSG00000037260	ENSMUST00000211550	Hgsnat	00531+2.3.1.78	52120
ENSMUSG00000068917	ENSMUST00000152205	Clk2		12748
ENSMUSG00000029088	ENSMUST00000176978	Kcnip4		80334
ENSMUSG00000062901	ENSMUST00000231842	Klhl24		75785
ENSMUSG00000068917	ENSMUST00000090927	Clk2		12748
ENSMUSG00000027506	ENSMUST00000091354	Tpd52		21985
ENSMUSG00000101436	ENSMUST00000185914	Gm5157		381937
ENSMUSG00000029088	ENSMUST00000087395	Kcnip4		80334
ENSMUSG00000068917	ENSMUST00000148265	Clk2		12748
ENSMUSG00000021311	ENSMUST00000099856	Mtr	00670+2.1.1.13	238505
ENSMUSG00000021311	ENSMUST00000099856	Mtr	00270+2.1.1.13	238505
ENSMUSG00000021311	ENSMUST00000099856	Mtr	00450+2.1.1.13	238505
ENSMUSG00000029088	ENSMUST00000176191	Kcnip4		80334
ENSMUSG00000029088	ENSMUST00000175660	Kcnip4		80334
ENSMUSG00000094221	ENSMUST00000105200	Vmn1r124		
ENSMUSG00000027506	ENSMUST00000094381	Tpd52		21985
ENSMUSG00000095814	ENSMUST00000105007	Btbd35f7		
ENSMUSG00000024273	ENSMUST00000235029	2700062C07Rik		68046
ENSMUSG00000027506	ENSMUST00000121038	Tpd52		21985
ENSMUSG00000026781	ENSMUST00000227663	Acbd5		74159
ENSMUSG00000027506	ENSMUST00000063496	Tpd52		21985
ENSMUSG00000115072	ENSMUST00000226198	Vmn1r2		
ENSMUSG00000021311	ENSMUST00000221290	Mtr		238505
ENSMUSG00000027506	ENSMUST00000145905	Tpd52		21985
ENSMUSG00000115072	ENSMUST00000105160	Vmn1r2		
ENSMUSG00000027506	ENSMUST00000134788	Tpd52		21985
ENSMUSG00000031239	ENSMUST00000033591	Itm2a		16431
ENSMUSG00000054720	ENSMUST00000067924	Lrrc8c		100604
ENSMUSG00000019297	ENSMUST00000019441	Nop9		67842
ENSMUSG00000027506	ENSMUST00000124956	Tpd52		21985
ENSMUSG00000032750	ENSMUST00000037374	Gab3		210710
ENSMUSG00000032750	ENSMUST00000114104	Gab3		210710
ENSMUSG00000054720	ENSMUST00000150981	Lrrc8c		100604
ENSMUSG00000004105	ENSMUST00000004208	Angptl2		26360
ENSMUSG00000027506	ENSMUST00000155450	Tpd52		21985
ENSMUSG00000054720	ENSMUST00000153754	Lrrc8c		100604
ENSMUSG00000036744	ENSMUST00000166880	Olfr701		66786
ENSMUSG00000059981	ENSMUST00000071268	Taok2		381921
ENSMUSG00000004105	ENSMUST00000193373	Angptl2		26360
ENSMUSG00000095139	ENSMUST00000178174	Pou3f2		
ENSMUSG00000101667	ENSMUST00000188358	Gm29289		
ENSMUSG00000024273	ENSMUST00000097646	2700062C07Rik		68046
ENSMUSG00000071150	ENSMUST00000095395	Tas2r121		387349
ENSMUSG00000059981	ENSMUST00000117394	Taok2		381921
ENSMUSG00000032042	ENSMUST00000138287	Srpr		67398
ENSMUSG00000019775	ENSMUST00000131996	Rgs17		56533
ENSMUSG00000078280	ENSMUST00000105077	Tas2r122		
ENSMUSG00000051910	ENSMUST00000206034	Sox6		20679
ENSMUSG00000019102	ENSMUST00000108716	Aldh3a1		11670
ENSMUSG00000004264	ENSMUST00000004375	Phb2		12034
ENSMUSG00000079003	ENSMUST00000095228	Samd1		666704
ENSMUSG00000036744	ENSMUST00000075414	Olfr701		66786
ENSMUSG00000014303	ENSMUST00000014447	Glis2		83396
ENSMUSG00000025986	ENSMUST00000027131	Slc39a10		227059
ENSMUSG00000019775	ENSMUST00000117676	Rgs17		56533
ENSMUSG00000068917	ENSMUST00000121931	Clk2		12748
ENSMUSG00000022219	ENSMUST00000001497	Cideb		12684
ENSMUSG00000036744	ENSMUST00000217739	Olfr701		66786
ENSMUSG00000014303	ENSMUST00000141682	Glis2		83396
ENSMUSG00000093918	ENSMUST00000189592	Gm21677		100862365
ENSMUSG00000019775	ENSMUST00000019909	Rgs17		56533
ENSMUSG00000019102	ENSMUST00000019246	Aldh3a1		11670
ENSMUSG00000068917	ENSMUST00000128318	Clk2		12748
ENSMUSG00000093918	ENSMUST00000179508	Gm21677		100862365
ENSMUSG00000025986	ENSMUST00000186852	Slc39a10		227059
