Gene stable ID	Transcript stable ID	Gene name	KEGG Pathway and Enzyme ID	NCBI gene ID
ENSMUSG00000029370	ENSMUST00000201370	Rassf6		73246
ENSMUSG00000028948	ENSMUST00000131696	Nol9		74035
ENSMUSG00000021572	ENSMUST00000036456	Cep72		74470
ENSMUSG00000042096	ENSMUST00000086599	Dao		13142
ENSMUSG00000089715	ENSMUST00000109625	Cbx6		494448
ENSMUSG00000073295	ENSMUST00000103007	Nudt11		102954
ENSMUSG00000029370	ENSMUST00000031317	Rassf6		73246
ENSMUSG00000026012	ENSMUST00000027165	Cd28		12487
ENSMUSG00000089715	ENSMUST00000109623	Cbx6		494448
ENSMUSG00000042096	ENSMUST00000161610	Dao		13142
ENSMUSG00000028948	ENSMUST00000084116	Nol9		74035
ENSMUSG00000029992	ENSMUST00000113655	Gfpt1		14583
