Gene stable ID	Transcript stable ID	NCBI gene (formerly Entrezgene) ID	Gene name
ENSCAFG00000003004	ENSCAFT00000077621	475316	PPT1
ENSCAFG00000003004	ENSCAFT00000063525	475316	PPT1
ENSCAFG00000003004	ENSCAFT00000082494	475316	PPT1
ENSCAFG00000003012	ENSCAFT00000004837	475317	
ENSCAFG00000003018	ENSCAFT00000078224	475318	MFSD2A
ENSCAFG00000003018	ENSCAFT00000004852	475318	MFSD2A
ENSCAFG00000003018	ENSCAFT00000004850	475318	MFSD2A
ENSCAFG00000003022	ENSCAFT00000047580	482461	MYCL
ENSCAFG00000003022	ENSCAFT00000004860	482461	MYCL
ENSCAFG00000003048	ENSCAFT00000004911	475320	TRIT1
ENSCAFG00000003048	ENSCAFT00000073395	475320	TRIT1
ENSCAFG00000029263	ENSCAFT00000090348		
ENSCAFG00000029263	ENSCAFT00000004913		
ENSCAFG00000003031	ENSCAFT00000072504	607232	PPIE
ENSCAFG00000003031	ENSCAFT00000086333	607232	PPIE
ENSCAFG00000003031	ENSCAFT00000062697	607232	PPIE
ENSCAFG00000003031	ENSCAFT00000004892	607232	PPIE
ENSCAFG00000003031	ENSCAFT00000046678	607232	PPIE
ENSCAFG00000030867	ENSCAFT00000046898	607789	HPCAL4
ENSCAFG00000030867	ENSCAFT00000075632	607789	HPCAL4
ENSCAFG00000003068	ENSCAFT00000004931	482463	NT5C1A
ENSCAFG00000003081	ENSCAFT00000004950	482464	PABPC4
ENSCAFG00000003081	ENSCAFT00000068280	482464	PABPC4
ENSCAFG00000003081	ENSCAFT00000070046	482464	PABPC4
ENSCAFG00000003081	ENSCAFT00000078365	482464	PABPC4
ENSCAFG00000003081	ENSCAFT00000004941	482464	PABPC4
ENSCAFG00000003081	ENSCAFT00000004949	482464	PABPC4
ENSCAFG00000003081	ENSCAFT00000073817	482464	PABPC4
ENSCAFG00000003081	ENSCAFT00000004950	607804	PABPC4
ENSCAFG00000003081	ENSCAFT00000068280	607804	PABPC4
ENSCAFG00000003081	ENSCAFT00000070046	607804	PABPC4
ENSCAFG00000003081	ENSCAFT00000078365	607804	PABPC4
ENSCAFG00000003081	ENSCAFT00000004941	607804	PABPC4
ENSCAFG00000003081	ENSCAFT00000004949	607804	PABPC4
ENSCAFG00000003081	ENSCAFT00000073817	607804	PABPC4
ENSCAFG00000021573	ENSCAFT00000033680		SNORA55
ENSCAFG00000049170	ENSCAFT00000073547		
ENSCAFG00000003087	ENSCAFT00000004951	100855618	
ENSCAFG00000003120	ENSCAFT00000067044	475321	MACF1
ENSCAFG00000003120	ENSCAFT00000060960	475321	MACF1
ENSCAFG00000003120	ENSCAFT00000081549	475321	MACF1
ENSCAFG00000003120	ENSCAFT00000076131	475321	MACF1
ENSCAFG00000003120	ENSCAFT00000088196	475321	MACF1
ENSCAFG00000003120	ENSCAFT00000005050	475321	MACF1
ENSCAFG00000003120	ENSCAFT00000050149	475321	MACF1
ENSCAFG00000020811	ENSCAFT00000032918		U6
ENSCAFG00000048804	ENSCAFT00000078036	475322	NDUFS5
ENSCAFG00000003186	ENSCAFT00000005127		AKIRIN1
ENSCAFG00000003189	ENSCAFT00000005131	482466	RHBDL2
ENSCAFG00000045136	ENSCAFT00000087313		U3
ENSCAFG00000024932	ENSCAFT00000038555	100684742	GJA9
ENSCAFG00000030622	ENSCAFT00000048941	475323	MYCBP
ENSCAFG00000030622	ENSCAFT00000070264	475323	MYCBP
ENSCAFG00000003196	ENSCAFT00000005139	100685060	RRAGC
ENSCAFG00000049742	ENSCAFT00000089219		
ENSCAFG00000044960	ENSCAFT00000065526		
ENSCAFG00000044960	ENSCAFT00000077209		
ENSCAFG00000046058	ENSCAFT00000081360		
ENSCAFG00000046058	ENSCAFT00000067454		
ENSCAFG00000036442	ENSCAFT00000057267		
ENSCAFG00000038312	ENSCAFT00000059216		
ENSCAFG00000003201	ENSCAFT00000005140	100855694	POU3F1
ENSCAFG00000003202	ENSCAFT00000005148	475325	UTP11
